상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,건물명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
88이삿짐,생활서비스,운송/배달/택배,종합이삿짐대행,일반 화물자동차 운송업,,경기도 광명시 소하동 320-6,경기도 광명시 오리로 424,14326,37.4399394177,126.8791835443
88지물,소매,가정/주방/인테리어,지물판매,벽지 및 장판류 소매업,,경기도 광명시 광명동 342-5,경기도 광명시 광명로832번길 5,14273,37.4733443607,126.8523475012
88지물장식,소매,가정/주방/인테리어,지물판매,벽지 및 장판류 소매업,,경기도 광명시 광명동 342-5,경기도 광명시 광명로832번길 5,14273,37.4733443607,126.8523475012
88청춘,음식,유흥주점,호프/맥주,기타 주점업,,경기도 광명시 광명동 158-1053,경기도 광명시 오리로 1006,14203,37.4803441426,126.8515985816
88포차,음식,유흥주점,호프/맥주,기타 주점업,부미쎈스빌,경기도 광명시 광명동 742-10,경기도 광명시 도덕로 21,14281,37.4681247738,126.8501536905
A.R.SYSTEM,소매,가정/주방/인테리어,유리/페인트/철물건축자재,"페인트, 유리 및 기타 건설자재 소매업",,경기도 광명시 광명동 116-10,경기도 광명시 광이로 26,14218,37.4807673942,126.8586299929
A.SOME,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,,경기도 광명시 소하동 1381,경기도 광명시 성채로50번길 21,14328,37.4328581172,126.8797375353
AK골프광명점,소매,운동/경기용품소매,골프용품판매,운동 및 경기용품 소매업,이케아광명점,경기도 광명시 일직동 500,경기도 광명시 일직로 17,14352,37.4240770913,126.8834009668
ANNE2,소매,의복의류,일반의류,셔츠 및 기타 의복 소매업,다인빌딩,경기도 광명시 철산동 382,경기도 광명시 철산로 24,14237,37.4759051677,126.8689609501
ATOZ영어교습소,학문/교육,학원-어학,학원-외국어/어학,외국어학원,이성아파트,경기도 광명시 광명동 419-58,경기도 광명시 광명로812번길 15,14280,37.4702338161,126.8507033106
AURA네트워크,소매,사진/광학/정밀기기소매,핸드폰소매,통신기기 소매업,제일프라자,경기도 광명시 소하동 1341-2,경기도 광명시 소하로 86,14316,37.4471876898,126.8832851169
Alleh,소매,사진/광학/정밀기기소매,핸드폰소매,통신기기 소매업,한복빌딩,경기도 광명시 철산동 413,경기도 광명시 오리로 856,14240,37.4746507475,126.8671770029
A플러스컴퓨터,소매,사무/문구/컴퓨터,컴퓨터전문매장,"컴퓨터 및 주변장치, 소프트웨어 소매업",,경기도 광명시 광명동 750-18,경기도 광명시 도덕로17번길 18,14281,37.4694028229,126.8490998017
B/D,소매,화장품소매,화장품판매점,화장품 및 방향제 소매업,광명해모로이연,경기도 광명시 광명동 785,경기도 광명시 목감로 58,14295,37.4731827019,126.8458249856
BABOS철산점,음식,유흥주점,호프/맥주,기타 주점업,로데오빌딩,경기도 광명시 철산동 264,경기도 광명시 철산로 12,14237,37.4754620315,126.8675146888
BARABOM&lt;바라봄&gt;,생활서비스,이/미용/건강,비만/피부관리,,,경기도 광명시 소하동 1312-9,경기도 광명시 신촌로15번길 29,14317,37.4495449352,126.8889884678
BBQ올떡볶이,음식,분식,떡볶이전문,분식 및 김밥 전문점,청덕빌딩,경기도 광명시 철산동 446,경기도 광명시 디지털로 25,14239,37.4740143931,126.8701287261
BBQ치킨,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,,경기도 광명시 소하동 1381-6,경기도 광명시 성채로50번길 9-12,14328,37.4327141805,126.8799524457
BBQ치킨,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,,경기도 광명시 철산동 56-8,경기도 광명시 광복로 70,14209,37.4899032871,126.8660413023
BBQ치킨,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,주공상가,경기도 광명시 철산동 241-2,경기도 광명시 철산로 43,14232,37.4771862997,126.8704848868
BEAUTE,소매,화장품소매,화장품판매점,화장품 및 방향제 소매업,우덕빌딩,경기도 광명시 하안동 34-7,경기도 광명시 범안로 1047,14248,37.4624642164,126.8789882029
BEETLE,음식,유흥주점,호프/맥주,기타 주점업,한국빌딩,경기도 광명시 철산동 424,경기도 광명시 디지털로 13,14240,37.4738777889,126.8688402142
BENKEIGOLFKOR,소매,운동/경기용품소매,운동/경기용품,운동 및 경기용품 소매업,광명테크노파크,경기도 광명시 소하동 1345,경기도 광명시 하안로 60,14322,37.4446218805,126.8947591629
BHC치킨,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,,경기도 광명시 광명동 47-9,경기도 광명시 광일로 5,14210,37.4844327992,126.8572887855
BHC치킨,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,경향빌딩,경기도 광명시 하안동 200-1,경기도 광명시 하안로 258,14307,37.4593507097,126.8828136422
BHC치킨,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,광장프라자,경기도 광명시 소하동 1338-3,경기도 광명시 소하로109번길 13-8,14316,37.4472159259,126.8844829615
BHC치킨광명사거리역점,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,,경기도 광명시 광명동 295-10,경기도 광명시 광명로 862-1,14268,37.475985164,126.8530431252
BJPC방,관광/여가/오락,PC/오락/당구/볼링등,인터넷PC방,컴퓨터 게임방 운영업,금강빌딩,경기도 광명시 철산동 421,경기도 광명시 오리로854번길 16,14240,37.4746523748,126.8686014264
